Gene	Chromo	Start	Finish	Function	ArabidopsisID	SunflowerID	AgravTajimaD	GravTajimaD	D01TajimaD	H01TajimaD	D03TajimaD	H02TajimaD	D04TajimaD	H05TajimaD	AgravGravOutlier	AgravGravOutlierStringent	D01H01outlier	D01H01outlierStringent	D03H02outlier	D03H02outlierStringent	D04H05outlier	D04H05outlierStringent	SummaryOutlierGenes	SummaryOutlierGenesStringent	ParallelGenes	ParallelGenesStringent	ParallelArchitectureGenes	ParallelArchitectureGenesStringent
AAO1_1	tig00038258	20882	34357	Biosynthesis	AT5G20960	XP_022000864.1	-1.187668	-1.245829	-1.68829	-0.81348	-0.828642	-0.756605	-0.271985	-0.194629	1	0	1	0	1	1	1	0	3	1	1	0	1	0
AAO1_2	tig00256657	29272	39940	Biosynthesis	AT5G20960	XP_022000864.1	-0.882907	-0.886413	-1.075332	-0.746097	0.247197	-0.162472	0.127032	-0.436862	1	1	1	0	1	0	1	0	3	0	1	0	1	0
AMI1	tig00007746	9027	10980	Biosynthesis	AT1G08980	XP_022005192.1	2.148848	2.163872	1.046423	1.859295	2.999141	2.627274	2.759938	2.434851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP71A12_1	tig00010159	66018	89227	Biosynthesis	AT2G30750	XP_022012298.1	0.809273	0.950085	-0.015177	0.528988	1.647284	1.518841	1.074807	1.395205	1	0	1	0	1	1	1	1	3	2	1	0	1	0
CYP71A12_2	tig00034646	8568	9983	Biosynthesis	AT2G30750	XP_022012298.1	2.984275	2.868162	2.049935	2.125767	1.769991	2.732099	3.171556	2.593721	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP71A13_1	tig00012297	77698	79055	Biosynthesis	AT2G30770	XP_022016786.1	1.734839	1.909245	1.253878	1.378548	2.698544	2.968683	3.276566	2.812643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP71A13_2	tig00065412	28679	30142	Biosynthesis	AT2G30770	XP_022016786.1	1.033265	1.046379	0.46977	0.917426	1.400732	1.302084	1.503091	1.200084	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP79B2_1	tig00017503	32019	34306	Biosynthesis	AT4G39950	XP_022024153.1	-0.461418	-0.636571	-1.096743	-0.594824	0.420101	0.002637	0.203422	0.54539	1	0	1	0	1	0	0	0	2	0	0	0	0	0
CYP79B2_2	tig00047073	11963	44561	Biosynthesis	AT4G39950	XP_022024153.1	-0.219634	-0.14075	-0.366167	-0.077793	1.220612	0.745149	0.878199	1.026342	1	1	1	0	1	0	0	0	2	0	0	0	0	0
CYP79B3	tig00066740	7587	9407	Biosynthesis	AT2G22330	XP_021981248.1	1.657386	1.648577	0.883729	1.487737	1.979124	1.792255	1.538027	1.696276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEC2_1	tig00010420	31139	31625	Biosynthesis	AT1G28300	XP_022014344.1	-0.808317	-0.443933	-1.850163	-1.520102	-0.800236	-0.489252	-2.00492	-0.706148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEC2_2	tig00262054	22642	23050	Biosynthesis	AT1G28300	XP_022014344.1	-0.729338	-0.723675	-1.350151	-1.306182	0.038812	-0.416755	-0.604219	-1.557128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA1_2	tig01936323	1156	2157	Biosynthesis	AT2G46870	XP_022029161.1	1.733409	1.761154	0.537439	1.223851	2.233951	2.178585	2.514532	1.91195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA2_1	tig00014263	57036	57395	Biosynthesis	AT3G61970	XP_022041670.1	-0.538564	-0.38303	-1.184326	-1.22799	-0.532787	0.567699	1.31656	0.238236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA2_2	tig00023196	14332	14655	Biosynthesis	AT3G61970	XP_022041670.1	0.202258	0.739288	0.76015	0.333295	3.018109	1.920842	2.305152	0.704662	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA3_1	tig00058533	9882	10232	Biosynthesis	AT1G01030	XP_022020925.1	-1.327933	-2.079682	-2.325835	-2.042078	-1.151488	-0.387565	-0.222865	-1.582808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA3_2	tig00260129	13712	14518	Biosynthesis	AT1G01030	XP_022020925.1	-0.609467	-1.036168	-0.814338	-0.357536	0.775701	0.004504	-0.361343	0.075162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGA4	tig01930385	19336	20709	Biosynthesis	AT4G01500	XP_021978685.1	-0.343098	-0.546369	-2.015166	-0.348862	0.189827	0.401465	0.356636	-1.06029	0	0	0	0	1	0	1	0	2	0	0	0	0	0
NIT1_1	tig00033361	5648	7014	Biosynthesis	AT3G44310	XP_022002483.1	-0.803868	-0.865263	-1.682517	-0.402362	0.284237	-0.075178	-0.22746	-0.826184	1	0	1	0	0	0	0	0	1	0	0	0	0	0
NIT1_2	tig00257759	2071	3463	Biosynthesis	AT3G44310	XP_022002483.1	-0.817072	-1.17047	-1.181541	-0.377715	0.228849	-0.57454	-0.037085	-0.222271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIT2_1	tig00027724	21635	22330	Biosynthesis	AT3G44300	XP_022029965.1	-1.022515	-1.088357	-1.077179	-0.734391	0.482573	0.126046	-0.14189	-0.115287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIT2_2	tig00260133	16383	18945	Biosynthesis	AT3G44300	XP_022029965.1	0.142813	0.242712	-0.905686	0.217418	1.333287	1.24802	1.445458	1.223027	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NIT3	tig00055579	40807	42329	Biosynthesis	AT3G44320	XP_021981641.1	-1.125514	-1.009506	-1.975341	-0.736143	0.017596	-0.582901	-0.018761	-0.209907	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PLT3_2	tig00256457	21104	25664	Biosynthesis	AT5G10510	XP_022009844.1	-0.521414	-0.369975	-0.4558	-0.420135	0.48148	0.254018	0.742636	0.77378	1	1	1	0	1	1	0	0	2	1	0	0	0	0
PLT5_1	tig00252518	11391	13939	Biosynthesis	AT5G57390	XP_022027953.1	-1.481643	-1.479327	-1.403683	-1.246114	0.031288	-0.262923	-0.559322	-0.371598	1	0	0	0	0	0	1	0	1	0	0	0	0	0
PLT5_2	tig01933177	3352	6734	Biosynthesis	AT5G57390	XP_022027953.1	-0.689321	-0.722866	-0.877341	-0.725096	0.207689	-0.503194	-0.271096	0.101626	1	0	1	0	1	1	1	0	3	1	1	0	1	0
PLT7_1	tig00039066	14414	15436	Biosynthesis	AT5G65510	XP_021997769.1	-0.966221	-0.955554	-1.383049	-1.404042	0.196107	-0.155281	-1.00636	-0.923125	0	0	0	0	0	0	1	0	1	0	0	0	0	0
PLT7_2	tig00079445	2229	5803	Biosynthesis	AT5G65510	XP_021997769.1	-0.51459	-0.805243	-1.438228	-0.277319	-0.581251	0.41774	-0.36171	-1.378982	0	0	0	0	1	0	0	0	1	0	0	0	0	0
REV	tig01929675	71806	76347	Biosynthesis	AT5G60690	XP_022026352.1	-1.754376	-1.586476	-1.699883	-2.089646	0.691187	-1.154194	-0.345499	-1.577425	0	0	0	0	0	0	1	0	1	0	0	0	0	0
SGR5_1	tig00032664	9374	10484	Gravitropism	AT2G01940	XP_022021649.1	-1.105943	-0.828086	-1.903404	-0.954267	-0.304758	-0.007886	-0.188301	-0.216381	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGR5_2	tig00089185	9769	11622	Gravitropism	AT2G01940	XP_022021649.1	-1.418881	-1.482516	-1.800202	-1.288043	-0.07789	-0.422096	-0.378122	-1.467652	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SPL	tig01932252	5773	6498	Biosynthesis	AT4G27330	XP_022026956.1	-0.901258	-1.071149	-1.626077	0.183051	0.804822	-0.170625	-0.568087	-0.746917	1	0	1	0	0	0	0	0	1	0	0	0	0	0
STY1	tig00249211	12939	14200	Biosynthesis	AT3G51060	XP_021992696.1	0.540457	0.6367	0.626608	0.696499	1.710533	1.604906	1.921235	1.159372	0	0	0	0	0	0	1	0	1	0	0	0	0	0
STY2	tig00099593	8401	9663	Biosynthesis	AT4G36260	XP_022015721.1	-1.518853	-1.357158	-1.345233	-1.479802	-1.38336	-0.47281	-0.646273	-0.643797	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STY3	tig00002955	139919	141047	Biosynthesis	AT2G21400	XP_021982877.1	-1.008428	-0.828294	-1.738955	-1.88508	0.695307	0.595613	-0.218441	-1.481925	1	0	1	0	0	0	1	0	2	0	0	0	0	0
STY4	tig00032769	4238	5860	Biosynthesis	AT2G18120	XP_022034476.1	-1.509923	-1.355431	-1.504938	-0.941761	-0.842452	-1.414257	-0.847935	-0.484297	0	0	0	0	0	0	1	1	1	1	0	0	0	0
STY5	tig00080712	20891	21613	Biosynthesis	AT1G75520	XP_022015728.1	-0.352148	-0.66261	-1.752668	-1.11126	0.167995	-0.57606	0.233945	-0.701691	0	0	1	0	0	0	0	0	1	0	0	0	0	0
STY6	tig00025492	6377	7017	Biosynthesis	AT3G54430	XP_022007727.1	-0.954182	-0.268462	-1.431852	-1.526533	0.523678	0.566882	-0.762077	-0.195704	0	0	1	0	0	0	0	0	1	0	0	0	0	0
STY8_1	tig00064488	7841	9115	Biosynthesis	AT5G33210	XP_021978956.1	2.757671	2.344975	1.019835	2.617752	2.968076	2.721824	3.043204	2.438448	0	0	1	0	0	0	0	0	1	0	0	0	0	0
STY8_2	tig00103984	9188	11544	Biosynthesis	AT5G33210	XP_021978956.1	-0.689622	-0.661649	-1.287968	-0.665909	-0.468834	-0.824525	-0.318427	-0.614939	0	0	1	0	1	0	0	0	2	0	0	0	0	0
TAA1_1	tig01938351	21282	23192	Biosynthesis	AT1G70560	XP_021973430.1	-0.745609	-0.432009	-1.716328	-1.245881	0.657237	-0.187331	0.220258	-0.909888	0	0	1	0	0	0	0	0	1	0	0	0	0	0
TAA1_2	tig00246479	43717	45064	Biosynthesis	AT1G70560	XP_021973430.1	-1.286279	-1.37029	-1.633454	-1.063249	-0.085054	-1.81689	-0.273778	-1.722892	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAR1_1	tig00040077	63754	65559	Biosynthesis	AT1G23320	XP_022025085.1	1.560466	1.779138	1.475641	1.400225	2.245287	1.565225	2.147467	2.262894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAR2	tig00053414	12717	14584	Biosynthesis	AT4G24670	XP_022015823.1	-1.568404	-1.476412	-1.778098	-1.18424	-1.20254	-1.846805	-1.16681	-1.096832	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TAR3_1	tig00246762	125736	127121	Biosynthesis	AT1G34040	XP_022000100.1	-1.151848	-0.990337	-1.191309	-1.802082	0.578295	0.140631	0.850634	0.12693	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAR4_1	tig00012840	17312	18710	Biosynthesis	AT1G34060	XP_022000099.1	-0.995472	-0.904817	-1.923801	-0.499585	0.03055	-0.011921	-0.897438	-0.221569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAR4_2	tig00076826	3997	10679	Biosynthesis	AT1G34060	XP_022000099.1	-1.34952	-1.589129	-1.438979	-1.420077	0.554186	-0.154228	-0.214724	0.328493	0	0	0	0	0	0	1	0	1	0	0	0	0	0
YUC1_1	tig00098289	13050	14447	Biosynthesis	AT4G32540	XP_021987117.1	-1.282322	-0.965437	-1.19183	-1.554342	-1.419197	-0.464765	-1.417675	-1.383103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC1_2	tig00249674	37516	38995	Biosynthesis	AT4G32540	XP_021987117.1	-0.20158	-0.718111	-0.69721	-1.373127	1.690337	0.631839	-1.222385	-1.455284	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC10	tig00256371	6247	7709	Biosynthesis	AT1G48910	XP_022040910.1	-1.464977	-1.273026	-1.6137	-0.781359	-0.282228	-0.954034	-1.442329	-1.073401	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC11_1	tig00047603	2030	12050	Biosynthesis	AT1G21430	XP_022030808.1	-0.560547	-0.534332	-0.952512	-0.402017	0.548801	0.055574	-0.032632	0.163377	1	0	0	0	1	0	0	0	1	0	0	0	0	0
YUC11_2	tig00254430	3553	5054	Biosynthesis	AT1G21430	XP_022030808.1	-1.431226	-1.579963	-1.581142	-0.803538	0.020048	-1.353246	-1.294931	-0.707716	1	0	0	0	0	0	0	0	0	0	0	0	0	0
